address,company,description,title
"Minneapolis, MN 55402",Target,"JOIN TARGET AS A DATA ANALYST – SUPPLY CHAIN Primary Function: Our Data Analysts are expected to explore data, technologies, and the application of mathematical techniques to enable business insights. Analysts spend about 50% of their time delivering insightful metrics, reports, and analysis through various technical approaches. As a part of a team our analysts play a critical role in accomplishing the sprint goals. They also develop domain knowledge as they learn about their business area and support applying key data management principles like metadata management, data profiling, and documenting their data lineage. Principal Duties and Responsibilities: Actively exploring data and sourcing for specific use cases Joining and creating measurable insights from the data to be shared Developing metrics, reports, and statistics Documenting calculations, code, and adhering to data management principles Validating and testing data assets of others in the form of peer review Exploring statistical analysis that could be applied to the data Performing descriptive statistics including mean, variance, median, correlation Applies insights and testing in partnership with business users Active participant in team meetings Support agile ceremonies Reporting/Working Relationships: Works directly with managers, data engineering and business users to gain insight and access to relevant data at scale. Engages with Data Product Owners and users to deliver completed work and valued insights. Active participant in Data Sciences and Analytics team functions and trainings. Job Requirements: BA/BS or equivalent experience 1-3 years total work experience Strong knowledge of data, reporting, and analytics Familiar with various programming languages- SQL, R, Python Stays current with new and evolving technologies via formal training and self-directed education Desired Requirements: Programming: SQL, R, Python, Spark or Hadoop ecosystem Mathematics and/or Statistics: Mathematical logic (AND, OR, NOT) Descriptive and Inferential Statistics Calculus (weighted averages, rates of change, single variable) Testing and Research Design: Apply the scientific method and experimental design Generate insight from observational data Americans with Disabilities Act (ADA) Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.",Data Analyst - Supply Chain Data Analytics
"Austin, TX",Wargaming,"Job Overview  Wargaming North America is looking for  Live Operations   Data Analyst  to join our Live Operations team. In this role, you will be the go-to person for data and analytics in Wargaming North America publishing department.  What you will do?   Provide data and analytic support for WG North America Liveops, Publishing and Marketing departments: Service-Sided Events (SSE), Customer Relationship Management (CRM) and Player Relationship Management Platform (PRMP), Marketing Campaigns.   Use historical data to identify and suggest business growth opportunities.   Build automated Tableau dashboards to track Wargaming NA publishing activities.   Interact with regional Product Groups to build yearly and monthly product forecasts.   Be the key person in NA region for data-related requests.   Collaborate with Wargaming Business Intelligence (WGBI) and regional analysts to scale successful data products globally.   Support marketing campaign analysis in coordination with Liveops and Marketing Analysts.   Drive community and social media analysis for NA Publishing, particularly with YouTube and Twitch.   Conduct ad-hoc research for WG publishing units.   Liaise with HQ and regional data owners to standardize information and reporting.  Contribute to Wargaming BI network to build a common knowledgebase and share best practices.  What are we looking for?   1-3 years of experience in analytics   Knowledge of SQL   Knowledge of Tableau or similar data visualization tool   Knowledge of Excel   Fluency in English   What additional skills will help you stand out?   Experience building ETL process   Business mindset   Excellent soft skills   Knowledge of Wargaming games   About Us  Wargaming is an award-winning online game developer and publisher headquartered in Nicosia, Cyprus. Delivering legendary games since 1998, Wargaming has grown to become one of the leaders in the free-to-play MMO gaming industry with 4500+ employees and more than 20 offices globally. Over 200 million players enjoy Wargaming's titles across all major gaming platforms, including the massively popular World of Tanks and World of Warships.  Working in our company means always having interesting challenges and gaining valuable experience while working with top-class experts.  Take your place among our passionate and experienced team and bring out the best in yourself at Wargaming! .  Please see Wargaming Candidate Privacy Policy for details on how Wargaming uses your personal data.",Live Operations Data Analyst
"Erie, PA",MCPc,"Company Description  MCPc is a global data protection company dedicated to helping our clients minimize business disruption, ensure operational continuity and, ultimately, achieve SecurityCertaintySM. We achieve this through a comprehensive, holistic, and integrated suite of services structured as Advisory Services: Global Consulting & Alliance Partnerships, IT Asset Management, and Talent Solutions, and Technical Solutions: Asset Procurement, Configuration & Distribution, Security Risk Management, and IT Asset Disposition. With headquarters in the Cleveland, OH we’ve meticulously built a global network of partners that provide our services nationally and internationally in over 80 countries. SkyPark is our Secure Technology Logistics Center Link59 is our main Security Operations Center (SOC) in Midtown. Our newest facility in Old Brooklyn is our Secure Technology Asset Disposition facility Additional sales, configuration, security operations and asset disposition operations located in Grand Rapids, MI and Erie, PA MCPc and our associates are dedicated to the communities in which we serve and actively participate on numerous nonprofit boards and tirelessly donate our time to many charitable organizations. MCPc is proud to be an equal opportunity employer, focused on recruiting and retaining top talent at every level. We employ premier associates in the industry who deliver value and support to our growing client base. We believe in training and career development for all associates. As you may imagine, as a trusted global data protection and endpoint solutions company, we hold ourselves to the highest level of security. As such, all new employees must undergo our standard background check and drug screen test for pre-employment purposes   Job Description  The purpose of this work package is to obtain services to support 24/7 customer service, commissioning and troubleshooting of wireless communications and on-board configuration management of mobile assets. Case Management Manage incoming cases related to on-board services, communication systems and associated equipment and software. Deliver recommendations to customers. Review case execution feedback and determine success. Escalate problems to appropriate personnel. Productivity and Automation Identify non value added work/tasks. Help identify and support opportunities for simplification and automation of service processes. Work with IT and engineering to identify options for overall service improvement to include but not limited to automation, end-user self-service and process improvement. Tracking & Metrics Identify inaccurate recommendations and poor feedback. Analyze operations data to identify and drive opportunities to reduce age of delivered recommendations and improve overall execution, timeliness, feedback and accuracy. Maintain customer satisfaction, mean-time to repair and accuracy metrics. Reporting Generate reports related to communication systems, including billing information Generate reports related to IT system performance.   Qualifications  General office management skills Excellent organization, communication and interpersonal skills Experience that represents excellent customer service Ability to interact at all levels within the organization, as well as directly with customers. Ability to work various shifts with various rest days in a 24/7 environment Hardware/Software Proficiency: Microsoft Office Suite (Excel, Word,  Access , PowerPoint) Other proprietary software & systems Additional Information  All your information will be kept confidential according to EEO guidelines.",Data Analyst
"Davenport, IA","City of Davenport, IA","Definition  Under direction and with support of Corporation Counsel and Chief of Police, conducts policy research and data analytics of police conduct in order to make recommendations for transparent and unbiased policing.  EQUAL JUSTICE WORKS FELLOWSHIP: This is an exciting opportunity for individuals interested in human rights and criminal justice to make a difference in the lives of those in the community. The City of Davenport is seeking to host a fellow—a recent law school graduate or an attorney transitioning from the private sector—for an Equal Justice Works Fellowship beginning in September 2021. The selected candidate will be required to participate in the application and sponsor interview process. The application, completed by both the host and candidate, is due September 17, 2020. Sponsor interviews are conducted between December 2020 and April 2021 and may include multiple interviews by different sponsors. Being chosen by the City of Davenport as a candidate does not guarantee a fellowship in September 2021. If chosen by a sponsor, the fellowship is a two year commitment.  Position will have access to information that is extremely confidential in nature.  More information about the Equal Justice Works Fellowship program can be found in the Fellowship Applicant Guide: https://bit.ly/30M5dCG   DISCLAIMER:  Should you select to attach any documents when applying for this position please note, file names must not include your first, last, or middle name. Failure to remove personnel identifiers will result in immediate disqualification. Do not provide references, transcripts or degrees unless and until requested.   Examples Of Duties  Establishes and maintains effective working relationships with Legal Department, Police Department, community organizations, and members of the public.  Collects and analyzes information and response data related to trends, resource allocation, and distribution statistics.  Collaborates and identifies key issues within the police department and community to compile an action plan.  Identifies and utilizes academic research agents and/or grants for long term partnerships.  Reviews incident response and other records management entries to identify quality issues.  Identifies opportunities to improve quality management processes.  Researches and identifies various causes of disproportionate police contact and possible solutions.  Reviews current measures and parameters of data collection and implements new processes as needed.  Researches applicable statutory and common law prior to offering proposals.  Confers with other departments, officials, consultants and explains policies and procedures;may make presentations on assigned projects and programs.   Qualifications  Must be a graduate of an Equal Justice Works Member Law School by the start of the Fellowship, on or about September 2021.  Must not have held a full-time, permanent public interest attorney position or have participated in any other major fellowship program previously. Some exceptions apply.  Must be able to provide 3 professional references and 2 letters of recommendation upon request.  Must take the bar prior to September 2021 and plan to reregister if unsuccessful.  Must be able to meet all other requirements of Equal Justice Works under the “Design Your Own Fellowship” program.  Must establish residency in Davenport, Iowa within six months of employment start date.   Knowledge and Skills  THOROUGH KNOWLEDGE OF :  Applicable federal, state, and local laws, regulations, codes, and ordinances.  Principles, practices, and techniques of research, data analysis, and policy making.  Principles, methods, and practices of legal research and investigation.  Principles of public administration including organization, personnel, and fiscal management.  Principles of statistical concepts, statistical methods, and general analytical procedures.  Principles of database management, performance management software, and dashboarding software.  Understanding of multi-faceted issues or barriers in order to identify positive solutions.  Familiarity with ETL concepts and data visualization.   EXTENSIVE SKILL IN :  Ability to use complex and creative problem solving.  The conduct of legal research, analysis of data, determination of proper courses of action,and presentation of facts and arguments.  Analysis with a variety of programming languages.  Appraising and organizing facts and presenting evidence and other material in oral and written form.  Establishing and maintaining effective working relationships with co-workers, City officials, the court, community organizations, and the general public.  Using applicable software or programming languages: Excel, GIS, Benchmark Analytics, STATA, SPSS.  Using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions.",Equal Justice Works Legal Fellow-Data & Policy Analyst
"New York, NY 10007",root liquids,"We will provide free online Training and Placement for Business Analyst positions . The primary responsibility of an entry-level business analyst includes supporting data gathering and providing review and analysis of data. Other day-to-day duties include ensuring data integrity, participating in data quality control and validation, and producing requirements documents for various business development activities. An entry-level business analyst may also create and execute test scripts under supervision.  Responsibilities: Responsible for business requirements, definition and documentation for new and changed application deliverables Defining business and technical requirements based on business problems. Performing requirement gathering sessions to gather information from stakeholders. Define and manage the scope of projects throughout the SDLC anticipating issues and proactively recommending solutions. Coordinate and collaborate across business and technology functions to ensure comprehensive solutions are delivered. Conducts high level business analysis involving complex business requirements and processes  Qualifications: Bachelors or Master’s Degree Strong Communication & Technical skills Responsible, dependable, quick learner Demonstrated ability to adapt to new technology Preferred willingness to relocate nationwide in the US for projects. We will give first preference for International Students, OPT and Stem OPT and other  Various Sponsorship Benefits for International Students: OPT Sponsorship Jobs OPT Extension E-verified Employers H1B Visa Processing for OPT Candidates Our mentoring team is a team of highly skilled technical experts dedicated to training you Our marketing team consists of more than 100 members with seasoned IT staffing experience Over 200 consultants on our payroll with leading clients 50 plus direct customers  We offer: Free Online training Excellent Salary Package Job Assistance and Support Real-time Certified S/W Trainers Company participates in ""E-verify"" program Placement in average of 4 weeks of marketing Online & onsite support provided  Training Process: 2 to 3 week online training using WebEx Training provided by instructors with extensive industry experience Daily training (Evening 2 - 3 hours) Teaching with 70% exercise and 30% lecture Real time examples and case studies to practice with Special one-on-one support before joining a project Limited Students in every batch  Marketing & Placement: Strong and motivated marketing team Marketers are specifically trained Great Marketing Support Mock-Interviews and interview training Placement in average of 4 weeks of marketing Online & onsite support provided Let us support you to continue moving towards your career goals. We are committed to helping you succeed. Interested? Feel free to call me or text me at ‪(609) 796-2021  Contact Details: Amir ‪ (609) 796-2021",Enter Level Business Analyst
"Santa Barbara, CA 93101",Montecito Bank & Trust,"Are you a talented professional who excels at personalized service, enjoys getting involved in your communities and has a desire to work for an organization voted Best Place to Work & Best Place to Bank?  Montecito Bank & Trust is seeking a full-time Junior Data Analyst to join our Marketing department. The Jr. Data Analyst will deliver a World Class Experience to by assisting with data gathering, maintaining existing dashboards and creating new reports, in addition to various ad-hoc projects. To do this you will need a working knowledge of relational data and/or data visualization, as well as a curiosity for market trends and consumer behaviors. You should have the ability to think objectively and independently in a fast paced environment. This position will work closely with the marketing department as well as all lines of business to support their data needs.  Minimum Requirements, Activities & Responsibilities  Education and Experience:   Bachelor’s degree preferred, areas of study include statistics, data science, marketing analytics   Minimum of one year up to three years of previous experience in a business intelligence, data analyst, or marketing analytics role preferred   Minimum of one year of experience working in banking or financial services preferred   Strong foundation in data basics and visualizations  Essential Functions:   Querying assorted databases to create analysis-ready data sets; including data acquisition from various sources, integration, quality control, etc.   Contribute to the definition, creation and centralization of reporting dashboards for use by departments throughout the Bank   Present data insights and potential solutions to teams throughout the Bank   Support the Senior Data Analyst in acquiring and analyzing client research (demographic, behavioral and attitudinal), industry analysis, market trends, economic forecasts and competitive activity   Support and maintain marketing dashboards   Generate reports from single or multiple systems to measure product performance and efficacy   Provide critical customer insights for portfolio development and relationship building ideas   Other duties as assigned  Skills and Capabilities:   Data visualization skills to develop visual presentations of information in a compelling, user-friendly format using data visualization tools like Tableau   Entry-level knowledge of SQL and relational databases   Positive attitude with an enthusiasm for sharing data   Strategic thinker who can multi-task and execute tactfully and efficiently   Collaborative and proactive approach to working with others   Must be flexible and willing to work in an interactive and dynamic team environment   Strong critical thinking, decision-making, and client service skills   Proficiency with Windows, Outlook, Excel, Word, PowerPoint, Adobe or Foxit PDF   Strong oral, written and interpersonal communication skills with the ability to apply common sense to carry out instructions, interpret documents, understand procedures, write reports and correspondence, speak clearly to clients and colleagues   Strong organizational, problem-solving, and time management skills  Interested in applying? Visit our website at  www.montecito.bank/careers  Review opening using the “Ways to Apply” tab on our Careers web page  Once you've selected desired position, click “Apply on the top right-hand corner of the web page  Create a personal log-in to apply  Equal Opportunity Employer/Disabled/Veteran",Junior Data Analyst
"Manhattan, KS 66502",HCI Hospitality,"Company Description  HCI is a successful and fast-growing restaurant and doggie daycare hospitality company. We offer a high-performing, team-based culture that supports our shared vision of providing “a fun and friendly home away from home where our guests feel like family.”   Job Description  This position will be in the middle of creating data tools for over 42 stores using multiple systems. This position is not eligible for sponorship or remote work. Conduct Root cause analysis - Determine the reason for issues Provide a weekly status updates on financials, staffing, and other metrics Use Microsoft Excel to support various data analysis, affinity to numbers and excel formula   Qualifications  Student at a university or a university of applied sciences Strong MS Office knowledge and experience, including MS Excel (basic formulas, sorting and filtering) Excellent analytical skills Passionate about data insights and data management Good organization skills Additional Information  https://www.hcihospitality.com/",Data Analytics Intern $11-$12 hour
"Atlanta, GA 30303",InComm,"Overview: Leveraging deep integrations into retailers’ point-of-sale systems, InComm is revolutionizing the commerce experience through innovative payments technology. InComm leverages end to end solutions to bring branded activatable products to retailers both in store and digitally. Our process includes everything from card printing, inventory management and forecast analytics, to the development and integration of activation technology in point of sale machines world-wide. From there we leverage our backend platform as a service technology to drive product activation to the tune of several thousand card activations every second. Whether those consumers are activating prepaid products, paying bills, enjoying real-time discounts through a membership card, purchasing digital goods in-store or adding funds to an online account, InComm is there to provide unique gift-gifting opportunities, cater to on-the-go shoppers, deliver added value through loyalty programs and serve cash-based consumers.  InComm is headquartered in Atlanta, GA with a presence in over 30 countries, an organization of approximately 3,000 employees, several hundred international technical patents, and a network that includes over 600,000 points of retail distribution. With innovation as our number 1 company value, our speed to market for new products and services is accelerating rapidly and quickly positioning InComm as a global leader in fintech innovation. Learn more at www.incomm.com or connect with us on Twitter, Facebook, LinkedIn, or Our Blog.  InComm: Mission & Values from InComm on Vimeo. About This Opportunity: The primary purpose of the Financial Data Analyst I is to perform the timely and accurate reconciliation of transaction activity. By manipulating and analyzing internal and external data, the associate will identify discrepancies, research the root cause of the discrepancies, and work to correct the cause of the issue, or collect/pay funds appropriately. The Financial Data Analyst I will own the financial relationship between InComm and their assigned merchants/partners. Responsibilities: Manipulate and analyze internal and external data with varying formats, quality, and accuracy while maintaining the integrity of the data. Tie data to financial transactions. (Datasets often have over a million records) Use a variety of tools to contrast and compare internal and external data Work with internal resources to confirm correct status, pricing, etc. to ensure accuracy of internal invoicing and remittances Work with Financial Accounting to ensure accurate recording of adjustments and proper representation of balances on financials Communicate and conduct meetings with external parties to obtain accurate, workable data and other information. Work with their resources, providing them adequate data to identify issues with their setups and systems to minimize discrepancies on their end. Build a case for the accuracy of internal data, present data to external parties, and collect sums due InComm. Develop an end-to-end understanding of the transactional data flows between InComm and assigned merchant/partner; understanding how sales are recorded on both sides, how data flows between the two entities, and learning where break-points exist in the flow in order to monitor the accounts. Preparation of settlement files with third party, communication of settlement amounts to third party and Accounts Receivable or Accounts Payable (Partner positions only) Analyze and document current processes with the goal of streamlining and improving these processes. Work with tech teams to automate processes where beneficial. Other tasks and responsibilities as assigned Qualifications:  Bachelor’s Degree required with 1.5 to 3 years of relevant work experience Detail oriented and highly organized Prior experience working with large sets of data (at minimum 250,000 rows at any given point) Ability to self-direct activities, set priorities, and meet deadlines ‘Hands-on’ approach, willingness to roll up sleeves and dig in Natural curiosity about how things work Ability to communicate at various levels throughout an organization both internal and external Flexibility, including ability to adapt quickly to changing priorities Ability to operate in an ambiguous, high pressure environment Strong analytical and problem solving skills; ability to develop and use structured approaches to identify root causes of issues and recommend resolutions; ability to present results in a meaningful terms Strong pattern recognition skills Strong knowledge of database and spreadsheet software with intermediate Excel skills. Familiarity with Access is a plus. Experience with Microsoft Office applications required. Oracle experience is a plus.  InComm provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity or national origin, citizenship, veteran’s status, age, disability status, genetics or any other category protected by federal, state, or local law.  This position is eligible for the Employee Referral Bonus Program - Tier II",Financial Data Analyst I
"Bloomington, MN 55437",Robert Half,"he Workforce Management Analyst supports the service center operations with a blend of technical and business expertise. Responsible for forecasting by gathering and organizing various types of data from multiple systems, tools, and teams. Key Responsibilities  Maintain system databases with accurate agent and client information  Monitor daily agent activity and call volume trends  Manage and optimize service center staff schedules based on forecasted requirements  Serve as a primary point of contact for daily scheduling issues  Recommend scheduling changes when needed to meet service center objectives based on real-time observations  Perform intra-day analysis and formulate/execute courses of action to resolve staffing/scheduling issues  Complete ad-hoc reporting and analysis projects  REQUIRED  At least 1-2 years of detail oriented corporate office experience (or a Bachelor's degree in lieu of that corporate office experience).  Must be comfortable sitting at a desk all day. The majority of the work duties involved schedules and schedule adjustments.  Working knowledge of Word, PowerPoint & Outlook  Ability to prove intermediate skill level or greater using Microsoft Excel  Strong verbal and written communication skills required; Ability to communicate effectively to ensure exceptional quality and a timely customer experience  Ability to manage multiple tasks/projects and work across geographies  Ability to prioritize and complete multiple assignments and coordinate workflow, producing high quality work in a deadline-driven environment with minimal direction  Ability to be a self-starter with excellent follow-up skills  PREFERRED  At least 1-2 years of call center experience  Associates Degree preferred, Bachelor's Degree a plus  1-2 years of call center workforce experience  Experience using Workforce Management software in a service center environment (IEX, Aspect, Blue Pumpkin, etc. in addition to call management software)  Experience working with Visio and SharePoint.  Scheduling and/or forecasting experience in a call center environment  If interested please email hailee.achtenberg@accountemps.com*  Accountemps, a Robert Half Company, matches highly skilled professionals with accounting finance jobs on a temporary and temporary-to-hire basis. From accounting clerks and bookeepers to accounts payable and staff accountants, we provide you with access to exciting career opportunities. Our personalized approach, innovative matching technology and global network with local market expertise help you find the legal opportunities that match your skills and priorities — fast. By working with us, you have access to challenging opportunities, competitive compensation and benefits, and training to enhance your skill sets. From philanthropy to environmental stewardship to employee programs, Robert Half is proud to have an active role in the communities in which we live and work. Our company has appeared on FORTUNE’s “Most Admired Companies” list every year since 1998. Download our mobile app to take your job search on the go! Contact your local Accountemps office at 888.490.3195 or visit www.roberthalf.com/jobs/accountemps to apply for this job now or find out more about other job opportunities. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2020 Accountemps. An Equal Opportunity Employer M/F/Disability/Veterans By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use .",Business Analyst
Remote,ArcheMedX,"Fulltime - Remote US Only - Applicants must be currently authorized to work in the United States on a full-time basis now and in the future. What is ArcheMedX?  We are a well-funded, revenue producing, early stage company that applies behavioral science to improve learning and generate actionable insights to improve clinical care. The ArcheMedX platform accelerates the research of new medicines and delivery of better care to millions of patients. Every member of our team has a meaningful stake in our success. If you are interested in taking on an impactful role delivering the data and insights that are transforming the healthcare and life science industries and truly making people’s lives better, let’s talk!  What are we looking for in an Experienced Data Analyst (Looker)  Passion for analyzing data to answer key questions from customers, strategic partners, and internal stakeholders. Self-initiated curiosity to identify the data trends and insights worth investigating and communicating areas for improvement in efficiency and productivity. Strong interpersonal skills with demonstrable verbal and written communications to maintain effective work relationships with all levels of personnel. Proven success in a collaborative, team-oriented environment along with the ability to work independently in extracting data and setting up visualizations and reports. Ability to work closely with business stakeholders to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights to relevant decision-makers. Talent to create and maintain rich interactive visualizations through data interpretation and analysis integrating various reporting components from multiple data sources. Demonstrated experience in defining and implementing data acquisition and integration logic and selecting the appropriate combination of methods and tools within a defined technology stack to ensure optimal scalability and performance of the solution. Confidence in building scripts that will make our data evaluation process more flexible or scalable across increasingly complex data sets.  Required Skills  Proven experience as a data analyst and BI professional Experience with Looker (or other similar BI tooling – Tableau, Microsoft Power BI, SAP Business Intelligence, etc.) Demonstrated ability to create intuitive data visualizations Advanced SQL In depth knowledge of Star / Snowflake Schema Practical experience in statistical analysis Organized, detail-oriented, and able to document all data analysis  Nice to have  DBT Experience Experience in the life sciences industry  What We Believe In  A small group of dedicated craftspeople can change the world. Software development is a creative problem solving process. We are all on the product team. We all thrive to create a working environment where we constantly reassess priorities and deliver product value without chaos and interruption. We believe in creating a tight build/measure/learn development cycle. Everyone should wear a lot of hats. Everyone can have good ideas.  What We Offer  The time and tools you need, and the freedom to advance in your craft. A collaborative, whiteboards-everywhere, fun workplace. A team of smart, like-minded, creative professionals who will constantly support and challenge you to build better solutions every day. A safe environment where every idea is heard, where mistakes are the way we learn, and where experimentation is the rhythm of our day. Trust that you know best how, when, and where you should work to achieve great results. The opportunity to see your work impact end users every day.  Perks  Employee stock options Retirement plan Paid time off Generous employee health, dental, and vision benefits New Apple equipment Continuous opportunities for professional development (Conferences / Learning Stipends) Bi-annual company wide outings",Experienced Data Analyst (Looker)
